Name,Title,_Artist1,_Artist2,_Artist3,_Artist4,_Artist5,url,Type,Lyric,Video,Christmas,Live,Remix,Cover,id,Start,End,Uploader,Duration
Matchbox Twenty - Crutch (Official Video),Crutch,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=xNrtcG1Nfbg,Video,0,1,0,0,0,0,xNrtcG1Nfbg,0.0,0.0,Matchbox Twenty,205
Matchbox Twenty - How Far We'Ve Come (Official Video),How Far We've Come,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=5d7EbtLb8ok,Video,0,1,0,0,0,0,5d7EbtLb8ok,0.0,0.0,Matchbox Twenty,207
Matchbox Twenty - If You'Re Gone (Official Video),If You're Gone,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=clKAdQnwJ7A,Video,0,1,0,0,0,0,clKAdQnwJ7A,0.0,0.0,Matchbox Twenty,275
Matchbox Twenty - Long Day (Official Video),Long Day,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=Pb_LtVkOMIg,Video,0,1,0,0,0,0,Pb_LtVkOMIg,0.0,0.0,Matchbox Twenty,230
Matchbox Twenty - Mad Season (Official Video),Mad Season,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=-0bgmucAQXk,Video,0,1,0,0,0,0,-0bgmucAQXk,0.0,0.0,Matchbox Twenty,279
Matchbox Twenty - Our Song (Official Video),Our Song,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=nEKKrdYTsIw,Video,0,1,0,0,0,0,nEKKrdYTsIw,0.0,0.0,Matchbox Twenty,181
Matchbox Twenty - Overjoyed (Official Video),Overjoyed,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=qg6r-IeH7ss,Video,0,1,0,0,0,0,qg6r-IeH7ss,0.0,0.0,Matchbox Twenty,185
Matchbox Twenty - Push (Official Video),Push,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=HAkHqYlqops,Video,0,1,0,0,0,0,HAkHqYlqops,0.0,0.0,Matchbox Twenty,243
Matchbox Twenty - Put Your Hands Up (Official Video),Put Your Hands Up,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=8t3ETJlVRio,Video,0,1,0,0,0,0,8t3ETJlVRio,0.0,0.0,Matchbox Twenty,191
Matchbox Twenty - Real World (Official Video),Real World,Matchbox Twenty,,,,,https://www.youtube.com/watch?v=fwJazZIWNgg,Video,0,1,0,0,0,0,fwJazZIWNgg,0.0,0.0,Matchbox Twenty,229
